voltage,current
0.003802672,41.5237467
0.022302158,41.5237467
0.040184995,41.56992084
0.058684481,41.56992084
0.074717369,41.5237467
0.094450154,41.5237467
0.11294964,41.5237467
0.128982528,41.5237467
0.148715313,41.5237467
0.164748201,41.5237467
0.185097636,41.5237467
0.202980473,41.5237467
0.221479959,41.5237467
0.239362795,41.5237467
0.255395683,41.5237467
0.27389517,41.5237467
0.292394656,41.5237467
0.309660843,41.5237467
0.328160329,41.5237467
0.344809866,41.5237467
0.363309353,41.5237467
0.38057554,41.5237467
0.399075026,41.5237467
0.416957862,41.5237467
0.435457348,41.5237467
0.453340185,41.5237467
0.469989723,41.5237467
0.489722508,41.38522427
0.505755396,41.38522427
0.522404933,41.38522427
0.54028777,41.43139842
0.555087359,41.29287599
0.571736896,41.2005277
0.586536485,41.01583113
0.598252826,40.78496042
0.609352518,40.55408971
0.617985612,40.18469657
0.626002055,39.81530343
0.634635149,39.44591029
0.638951696,38.93799472
0.643884892,38.43007916
0.649434738,37.92216359
0.654367934,37.46042216
0.656834532,36.9525066
0.65991778,36.35224274
0.663001028,35.75197889
0.666700925,35.24406332
0.668550874,34.59762533
0.671634121,33.99736148
0.67348407,33.39709763
0.677183967,32.88918206
0.678417266,32.28891821
0.679650565,31.68865435
0.681500514,31.04221636
0.683350462,30.44195251
0.684583762,29.74934037
0.68705036,29.19525066
0.688283659,28.50263852
0.690133607,27.99472296
0.691366906,27.25593668
0.691366906,26.5171504
0.693216855,25.91688654
0.695066804,25.27044855
0.696300103,23.93139842
0.696300103,24.6701847
0.698150051,23.33113456
0.7,22.73087071
0.7,22.08443272
0.701233299,21.43799472
0.701233299,20.74538259
0.703083248,20.09894459
0.704933196,19.49868074
0.704933196,18.75989446
0.706166495,18.11345646
0.706166495,17.51319261
0.708016444,16.17414248
0.708633094,16.91292876
0.709866393,15.57387863
0.709866393,14.92744063
0.711099692,14.2348285
0.711716341,13.5883905
0.71294964,12.24934037
0.71294964,11.64907652
0.71294964,12.98812665
0.714799589,11.00263852
0.715416238,10.40237467
0.716649538,9.017150396
0.717882837,8.278364116
0.717882837,7.678100264
0.717882837,7.077836412
0.719732785,6.339050132
0.719732785,5.73878628
0.719732785,5.092348285
0.720966084,4.399736148
0.720966084,3.753298153
0.722816033,1.767810026
0.722816033,2.414248021
0.722816033,3.153034301
0.724665982,1.075197889
0.724665982,0.013192612
0.724665982,0.567282322
