wavelength,percent
299.7682503,64.68342696
303.9397451,67.21577658
308.806489,70.35583848
322.0162225,73.5985743
331.0544612,76.84060607
340.787949,79.57642607
369.2931634,86.66984467
399.188876,93.45970049
426.9988413,95.99603972
454.1135574,97.11454009
500,98.13494287
517.3812283,98.5429397
549.3626883,98.44707159
564.6581692,98.75345058
574.391657,98.95762501
620.2780997,99.26916702
661.9930475,98.7698784
677.9837775,98.77257726
698.8412514,98.97862916
768.3661645,98.58530003
790.6141367,98.79158661
811.4716107,98.79510685
828.8528389,98.79804039
842.7578216,98.80038723
860.1390498,99.00585241
883.0822711,99.00972469
906.7207416,98.81118266
929.6639629,98.51125746
950.5214368,97.70465113
974.1599073,96.39218505
998.4936269,93.15578568
1015.874855,89.20935213
1026.998841,86.47705238
1051.332561,75.84824794
1061.066049,69.976473
1068.713789,66.02839667
1111.819235,39.80782375
1122.247972,33.63236869
1137.543453,24.21722868
1166.048667,8.424571336
1186.906141,1.440749813
