datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-05-22 23:55:00,2014-05-22,23:55,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,62.125kWh,"5,182W",
2014-05-22 23:50:00,2014-05-22,23:50,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,61.693kWh,"5,221W",
2014-05-22 23:45:00,2014-05-22,23:45,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,61.258kWh,"5,221W",
2014-05-22 23:40:00,2014-05-22,23:40,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,60.823kWh,"5,227W",
2014-05-22 23:35:00,2014-05-22,23:35,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,60.387kWh,"5,309W",
2014-05-22 23:30:00,2014-05-22,23:30,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,59.945kWh,"5,453W",
2014-05-22 23:25:00,2014-05-22,23:25,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,59.490kWh,"5,381W",
2014-05-22 23:20:00,2014-05-22,23:20,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,59.042kWh,"5,512W",
2014-05-22 23:15:00,2014-05-22,23:15,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,58.583kWh,"5,551W",
2014-05-22 23:10:00,2014-05-22,23:10,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,58.120kWh,"1,917W",
2014-05-22 23:05:00,2014-05-22,23:05,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,-,-,57.960kWh,"1,787W",
2014-05-22 23:00:00,2014-05-22,23:00,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.9C,-,57.811kWh,"1,579W",
2014-05-22 22:55:00,2014-05-22,22:55,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.7C,-,57.680kWh,"1,582W",
2014-05-22 22:50:00,2014-05-22,22:50,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.7C,-,57.548kWh,"1,960W",
2014-05-22 22:45:00,2014-05-22,22:45,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.7C,-,57.385kWh,"1,935W",
2014-05-22 22:40:00,2014-05-22,22:40,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.9C,-,57.223kWh,"1,674W",
2014-05-22 22:35:00,2014-05-22,22:35,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.9C,-,57.084kWh,"5,376W",
2014-05-22 22:30:00,2014-05-22,22:30,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.8C,-,56.636kWh,"5,304W",
2014-05-22 22:25:00,2014-05-22,22:25,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.6C,-,56.194kWh,"1,561W",
2014-05-22 22:20:00,2014-05-22,22:20,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.4C,-,56.064kWh,"1,555W",
2014-05-22 22:15:00,2014-05-22,22:15,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.2C,-,55.934kWh,"1,666W",
2014-05-22 22:10:00,2014-05-22,22:10,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.1C,-,55.795kWh,"1,660W",
2014-05-22 22:05:00,2014-05-22,22:05,36.549kWh,2.576kWh/kW,0,0W,0.000kW/kW,14.5C,-,55.657kWh,"1,660W",
