datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-08-01 20:15:00,2014-08-01,20:15,78.341kWh,5.521kWh/kW,0,0W,0.000kW/kW,20.7C,-,28.905kWh,0W,
2014-08-01 20:10:00,2014-08-01,20:10,78.341kWh,5.521kWh/kW,10,12W,0.001kW/kW,21.1C,-,28.905kWh,0W,
2014-08-01 20:05:00,2014-08-01,20:05,78.340kWh,5.521kWh/kW,48,48W,0.003kW/kW,21.5C,-,28.905kWh,0W,
2014-08-01 20:00:00,2014-08-01,20:00,78.336kWh,5.521kWh/kW,91,96W,0.007kW/kW,22.5C,-,28.905kWh,0W,
2014-08-01 19:55:00,2014-08-01,19:55,78.328kWh,5.520kWh/kW,118,120W,0.008kW/kW,22.7C,-,28.905kWh,0W,
2014-08-01 19:50:00,2014-08-01,19:50,78.318kWh,5.519kWh/kW,145,144W,0.010kW/kW,22.7C,-,28.905kWh,0W,
2014-08-01 19:45:00,2014-08-01,19:45,78.306kWh,5.518kWh/kW,169,168W,0.012kW/kW,23.2C,-,28.905kWh,0W,
2014-08-01 19:40:00,2014-08-01,19:40,78.292kWh,5.517kWh/kW,185,180W,0.013kW/kW,23.3C,-,28.905kWh,0W,
2014-08-01 19:35:00,2014-08-01,19:35,78.277kWh,5.516kWh/kW,203,204W,0.014kW/kW,23.5C,-,28.905kWh,0W,
2014-08-01 19:30:00,2014-08-01,19:30,78.260kWh,5.515kWh/kW,237,240W,0.017kW/kW,23.8C,-,28.905kWh,0W,
2014-08-01 19:25:00,2014-08-01,19:25,78.240kWh,5.514kWh/kW,294,300W,0.021kW/kW,24.3C,-,28.905kWh,0W,
2014-08-01 19:20:00,2014-08-01,19:20,78.215kWh,5.512kWh/kW,385,384W,0.027kW/kW,24.5C,-,28.905kWh,0W,
2014-08-01 19:15:00,2014-08-01,19:15,78.183kWh,5.510kWh/kW,528,528W,0.037kW/kW,25.0C,-,28.905kWh,0W,
2014-08-01 19:10:00,2014-08-01,19:10,78.139kWh,5.507kWh/kW,745,744W,0.052kW/kW,25.5C,-,28.905kWh,0W,
2014-08-01 19:05:00,2014-08-01,19:05,78.077kWh,5.502kWh/kW,918,924W,0.065kW/kW,25.5C,-,28.905kWh,0W,
2014-08-01 19:00:00,2014-08-01,19:00,78.000kWh,5.497kWh/kW,937,936W,0.066kW/kW,24.7C,-,28.905kWh,0W,
