datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-05-07 23:55:00,2014-05-07,23:55,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.992kWh,"1,000W",
2014-05-07 23:50:00,2014-05-07,23:50,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.909kWh,"1,002W",
2014-05-07 23:45:00,2014-05-07,23:45,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.826kWh,"1,010W",
2014-05-07 23:40:00,2014-05-07,23:40,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.741kWh,"1,002W",
2014-05-07 23:35:00,2014-05-07,23:35,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.658kWh,"1,116W",
2014-05-07 23:30:00,2014-05-07,23:30,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.565kWh,"1,132W",
2014-05-07 23:20:00,2014-05-07,23:20,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.376kWh,"1,145W",
2014-05-07 23:15:00,2014-05-07,23:15,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.281kWh,"1,027W",
2014-05-07 23:10:00,2014-05-07,23:10,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,51.195kWh,"8,217W",
2014-05-07 23:05:00,2014-05-07,23:05,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,-,-,50.511kWh,"8,991W",
2014-05-07 23:00:00,2014-05-07,23:00,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.6C,-,49.761kWh,"9,015W",
2014-05-07 22:55:00,2014-05-07,22:55,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.5C,-,49.010kWh,"8,132W",
2014-05-07 22:50:00,2014-05-07,22:50,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.5C,-,48.332kWh,"8,196W",
2014-05-07 22:45:00,2014-05-07,22:45,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.5C,-,47.649kWh,"8,245W",
2014-05-07 22:40:00,2014-05-07,22:40,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.5C,-,46.962kWh,"8,242W",
2014-05-07 22:35:00,2014-05-07,22:35,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.5C,-,46.275kWh,"8,204W",
2014-05-07 22:30:00,2014-05-07,22:30,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.4C,-,45.592kWh,"8,308W",
2014-05-07 22:25:00,2014-05-07,22:25,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.5C,-,44.899kWh,"8,509W",
2014-05-07 22:20:00,2014-05-07,22:20,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.6C,-,44.190kWh,"8,259W",
2014-05-07 22:15:00,2014-05-07,22:15,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,6.9C,-,43.502kWh,"5,292W",
2014-05-07 22:10:00,2014-05-07,22:10,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,7.0C,-,43.061kWh,"5,289W",
2014-05-07 22:05:00,2014-05-07,22:05,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,7.3C,-,42.620kWh,"5,305W",
2014-05-07 22:00:00,2014-05-07,22:00,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,7.7C,-,42.178kWh,"5,327W",
2014-05-07 21:55:00,2014-05-07,21:55,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,7.7C,-,41.734kWh,"5,257W",
2014-05-07 21:50:00,2014-05-07,21:50,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,7.7C,-,41.296kWh,"5,095W",
2014-05-07 21:45:00,2014-05-07,21:45,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,7.9C,-,40.872kWh,"5,075W",
2014-05-07 21:40:00,2014-05-07,21:40,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,8.1C,-,40.449kWh,"5,096W",
2014-05-07 21:35:00,2014-05-07,21:35,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,8.4C,-,40.024kWh,"5,074W",
2014-05-07 21:30:00,2014-05-07,21:30,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,8.5C,-,39.601kWh,"5,083W",
2014-05-07 21:25:00,2014-05-07,21:25,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,8.6C,-,39.178kWh,"5,929W",
2014-05-07 21:20:00,2014-05-07,21:20,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,8.7C,-,38.684kWh,"2,249W",
2014-05-07 21:15:00,2014-05-07,21:15,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,8.8C,-,38.496kWh,"2,259W",
2014-05-07 21:10:00,2014-05-07,21:10,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.1C,-,38.308kWh,"2,256W",
2014-05-07 21:05:00,2014-05-07,21:05,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.3C,-,38.120kWh,"2,262W",
2014-05-07 21:00:00,2014-05-07,21:00,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.5C,-,37.931kWh,"2,269W",
2014-05-07 20:55:00,2014-05-07,20:55,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.6C,-,37.742kWh,"2,378W",
2014-05-07 20:50:00,2014-05-07,20:50,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.6C,-,37.544kWh,"2,425W",
2014-05-07 20:45:00,2014-05-07,20:45,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.6C,-,37.342kWh,"2,276W",
2014-05-07 20:40:00,2014-05-07,20:40,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.5C,-,37.152kWh,"2,375W",
2014-05-07 20:35:00,2014-05-07,20:35,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.4C,-,36.954kWh,"1,923W",
2014-05-07 20:30:00,2014-05-07,20:30,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.4C,-,36.794kWh,"1,613W",
2014-05-07 20:25:00,2014-05-07,20:25,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.4C,-,36.660kWh,"1,620W",
2014-05-07 20:20:00,2014-05-07,20:20,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.4C,-,36.525kWh,"1,578W",
2014-05-07 20:15:00,2014-05-07,20:15,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.2C,-,36.393kWh,"1,584W",
2014-05-07 20:10:00,2014-05-07,20:10,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.2C,-,36.261kWh,"1,582W",
2014-05-07 20:05:00,2014-05-07,20:05,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,9.4C,-,36.129kWh,"1,589W",
2014-05-07 20:00:00,2014-05-07,20:00,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.1C,-,35.997kWh,"1,455W",
2014-05-07 19:55:00,2014-05-07,19:55,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.1C,-,35.876kWh,"1,390W",
2014-05-07 19:50:00,2014-05-07,19:50,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.1C,-,35.760kWh,"1,224W",
2014-05-07 19:45:00,2014-05-07,19:45,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.3C,-,35.658kWh,"1,247W",
2014-05-07 19:40:00,2014-05-07,19:40,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.5C,-,35.554kWh,"4,940W",
2014-05-07 19:35:00,2014-05-07,19:35,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.6C,-,35.142kWh,"6,539W",
2014-05-07 19:30:00,2014-05-07,19:30,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.6C,-,34.598kWh,"6,548W",
2014-05-07 19:25:00,2014-05-07,19:25,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.6C,-,34.052kWh,"6,420W",
2014-05-07 19:20:00,2014-05-07,19:20,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.6C,-,33.517kWh,"6,357W",
2014-05-07 19:15:00,2014-05-07,19:15,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.8C,-,32.987kWh,"1,030W",
2014-05-07 19:10:00,2014-05-07,19:10,55.179kWh,3.889kWh/kW,0,0W,0.000kW/kW,10.9C,-,32.901kWh,"1,135W",
2014-05-07 19:05:00,2014-05-07,19:05,55.179kWh,3.889kWh/kW,11,12W,0.001kW/kW,11.0C,-,32.807kWh,"1,129W",
2014-05-07 19:00:00,2014-05-07,19:00,55.178kWh,3.889kWh/kW,51,48W,0.003kW/kW,11.3C,-,32.713kWh,"1,113W",
2014-05-07 18:55:00,2014-05-07,18:55,55.174kWh,3.888kWh/kW,85,84W,0.006kW/kW,11.4C,-,32.620kWh,"1,119W",
2014-05-07 18:50:00,2014-05-07,18:50,55.167kWh,3.888kWh/kW,102,108W,0.008kW/kW,11.4C,-,32.527kWh,"1,337W",
2014-05-07 18:45:00,2014-05-07,18:45,55.158kWh,3.887kWh/kW,114,108W,0.008kW/kW,11.5C,-,32.415kWh,"1,354W",
2014-05-07 18:40:00,2014-05-07,18:40,55.149kWh,3.886kWh/kW,141,144W,0.010kW/kW,11.6C,-,32.302kWh,"1,381W",
2014-05-07 18:35:00,2014-05-07,18:35,55.137kWh,3.886kWh/kW,172,168W,0.012kW/kW,11.8C,-,32.187kWh,"1,385W",
2014-05-07 18:30:00,2014-05-07,18:30,55.123kWh,3.885kWh/kW,208,204W,0.014kW/kW,12.0C,-,32.072kWh,"1,387W",
2014-05-07 18:25:00,2014-05-07,18:25,55.106kWh,3.883kWh/kW,244,240W,0.017kW/kW,12.1C,-,31.956kWh,"3,178W",
2014-05-07 18:20:00,2014-05-07,18:20,55.086kWh,3.882kWh/kW,252,252W,0.018kW/kW,12.3C,-,31.691kWh,"4,265W",
