datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-05-24 23:55:00,2014-05-24,23:55,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,78.334kWh,"1,442W",
2014-05-24 23:50:00,2014-05-24,23:50,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,78.214kWh,"1,348W",
2014-05-24 23:45:00,2014-05-24,23:45,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,78.102kWh,"3,486W",
2014-05-24 23:40:00,2014-05-24,23:40,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,77.811kWh,"5,164W",
2014-05-24 23:35:00,2014-05-24,23:35,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,77.381kWh,"5,149W",
2014-05-24 23:30:00,2014-05-24,23:30,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,76.952kWh,"5,600W",
2014-05-24 23:25:00,2014-05-24,23:25,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,76.485kWh,"7,511W",
2014-05-24 23:20:00,2014-05-24,23:20,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,75.859kWh,"8,058W",
2014-05-24 23:15:00,2014-05-24,23:15,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,75.188kWh,"8,063W",
2014-05-24 23:10:00,2014-05-24,23:10,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,-,-,74.516kWh,"8,068W",
2014-05-24 23:05:00,2014-05-24,23:05,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,73.844kWh,"8,055W",
2014-05-24 23:00:00,2014-05-24,23:00,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,73.172kWh,"4,411W",
2014-05-24 22:55:00,2014-05-24,22:55,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,72.805kWh,"4,406W",
2014-05-24 22:50:00,2014-05-24,22:50,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.2C,-,72.438kWh,"4,416W",
2014-05-24 22:45:00,2014-05-24,22:45,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.2C,-,72.070kWh,"4,424W",
2014-05-24 22:40:00,2014-05-24,22:40,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.3C,-,71.701kWh,"4,546W",
2014-05-24 22:35:00,2014-05-24,22:35,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.6C,-,71.322kWh,"4,552W",
2014-05-24 22:30:00,2014-05-24,22:30,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.6C,-,70.943kWh,"4,653W",
2014-05-24 22:25:00,2014-05-24,22:25,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.6C,-,70.555kWh,"4,781W",
2014-05-24 22:20:00,2014-05-24,22:20,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.8C,-,70.157kWh,"9,876W",
2014-05-24 22:15:00,2014-05-24,22:15,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,12.0C,-,69.334kWh,"7,708W",
2014-05-24 22:10:00,2014-05-24,22:10,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,12.0C,-,68.691kWh,"6,969W",
2014-05-24 22:05:00,2014-05-24,22:05,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.9C,-,68.110kWh,"1,693W",
2014-05-24 22:00:00,2014-05-24,22:00,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,67.969kWh,"1,751W",
2014-05-24 21:55:00,2014-05-24,21:55,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,67.823kWh,"1,462W",
2014-05-24 21:50:00,2014-05-24,21:50,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,67.702kWh,"1,538W",
2014-05-24 21:45:00,2014-05-24,21:45,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,67.573kWh,"4,965W",
2014-05-24 21:40:00,2014-05-24,21:40,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.1C,-,67.160kWh,"4,968W",
2014-05-24 21:35:00,2014-05-24,21:35,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.0C,-,66.746kWh,"4,739W",
2014-05-24 21:30:00,2014-05-24,21:30,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.9C,-,66.351kWh,"4,569W",
2014-05-24 21:25:00,2014-05-24,21:25,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.8C,-,65.970kWh,"4,535W",
2014-05-24 21:20:00,2014-05-24,21:20,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.7C,-,65.592kWh,"4,588W",
2014-05-24 21:15:00,2014-05-24,21:15,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.6C,-,65.210kWh,"4,600W",
2014-05-24 21:10:00,2014-05-24,21:10,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.5C,-,64.826kWh,"4,700W",
2014-05-24 21:05:00,2014-05-24,21:05,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.5C,-,64.435kWh,"4,680W",
2014-05-24 21:00:00,2014-05-24,21:00,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.4C,-,64.045kWh,"4,780W",
2014-05-24 20:55:00,2014-05-24,20:55,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.4C,-,63.646kWh,"4,833W",
2014-05-24 20:50:00,2014-05-24,20:50,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.4C,-,63.244kWh,"5,655W",
2014-05-24 20:45:00,2014-05-24,20:45,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.5C,-,62.772kWh,"5,555W",
2014-05-24 20:40:00,2014-05-24,20:40,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.5C,-,62.310kWh,"4,748W",
2014-05-24 20:35:00,2014-05-24,20:35,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.5C,-,61.914kWh,"4,608W",
2014-05-24 20:30:00,2014-05-24,20:30,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.5C,-,61.530kWh,"4,766W",
2014-05-24 20:25:00,2014-05-24,20:25,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,10.8C,-,61.133kWh,"4,853W",
2014-05-24 20:20:00,2014-05-24,20:20,53.077kWh,3.740kWh/kW,0,0W,0.000kW/kW,11.2C,-,60.728kWh,"4,862W",
