datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-06-12 23:55:00,2014-06-12,23:55,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,63.541kWh,"1,481W",
2014-06-12 23:50:00,2014-06-12,23:50,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,63.418kWh,"1,482W",
2014-06-12 23:45:00,2014-06-12,23:45,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,63.294kWh,"1,411W",
2014-06-12 23:40:00,2014-06-12,23:40,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,63.177kWh,"1,366W",
2014-06-12 23:35:00,2014-06-12,23:35,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,63.063kWh,"1,235W",
2014-06-12 23:30:00,2014-06-12,23:30,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,62.960kWh,"1,264W",
2014-06-12 23:25:00,2014-06-12,23:25,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,62.855kWh,"1,320W",
2014-06-12 23:20:00,2014-06-12,23:20,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,62.745kWh,"1,328W",
2014-06-12 23:15:00,2014-06-12,23:15,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,62.634kWh,"1,317W",
2014-06-12 23:10:00,2014-06-12,23:10,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,62.524kWh,"1,320W",
2014-06-12 23:05:00,2014-06-12,23:05,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,-,-,62.414kWh,"1,324W",
2014-06-12 23:00:00,2014-06-12,23:00,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,14.9C,-,62.304kWh,"1,333W",
2014-06-12 22:55:00,2014-06-12,22:55,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,14.9C,-,62.193kWh,"1,237W",
2014-06-12 22:50:00,2014-06-12,22:50,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,14.9C,-,62.090kWh,"1,555W",
2014-06-12 22:45:00,2014-06-12,22:45,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,15.0C,-,61.960kWh,"2,242W",
2014-06-12 22:40:00,2014-06-12,22:40,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,15.0C,-,61.773kWh,"3,262W",
2014-06-12 22:35:00,2014-06-12,22:35,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,15.0C,-,61.502kWh,"3,225W",
2014-06-12 22:30:00,2014-06-12,22:30,63.458kWh,4.472kWh/kW,0,0W,0.000kW/kW,15.1C,-,61.233kWh,"3,073W",
