datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-08-25 23:55:00,2014-08-25,23:55,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,58.019kWh,"1,292W",
2014-08-25 23:50:00,2014-08-25,23:50,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,57.911kWh,"1,408W",
2014-08-25 23:45:00,2014-08-25,23:45,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,57.794kWh,"1,514W",
2014-08-25 23:40:00,2014-08-25,23:40,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,57.668kWh,"1,513W",
2014-08-25 23:35:00,2014-08-25,23:35,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,57.542kWh,"1,508W",
2014-08-25 23:30:00,2014-08-25,23:30,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,57.416kWh,"5,312W",
2014-08-25 23:25:00,2014-08-25,23:25,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,56.973kWh,"5,232W",
2014-08-25 23:20:00,2014-08-25,23:20,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,56.537kWh,"5,219W",
2014-08-25 23:15:00,2014-08-25,23:15,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,56.103kWh,"5,195W",
2014-08-25 23:10:00,2014-08-25,23:10,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,55.670kWh,"5,117W",
2014-08-25 23:05:00,2014-08-25,23:05,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,-,-,55.243kWh,"5,132W",
2014-08-25 23:00:00,2014-08-25,23:00,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.1C,-,54.816kWh,"7,300W",
2014-08-25 22:55:00,2014-08-25,22:55,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.1C,-,54.207kWh,"7,545W",
2014-08-25 22:50:00,2014-08-25,22:50,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.1C,-,53.579kWh,"7,747W",
2014-08-25 22:45:00,2014-08-25,22:45,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.0C,-,52.933kWh,"1,377W",
2014-08-25 22:40:00,2014-08-25,22:40,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.0C,-,52.818kWh,"1,371W",
2014-08-25 22:35:00,2014-08-25,22:35,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.2C,-,52.704kWh,"1,342W",
2014-08-25 22:30:00,2014-08-25,22:30,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.1C,-,52.592kWh,"1,517W",
2014-08-25 22:25:00,2014-08-25,22:25,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.0C,-,52.466kWh,"1,410W",
2014-08-25 22:20:00,2014-08-25,22:20,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.2C,-,52.348kWh,"1,607W",
2014-08-25 22:15:00,2014-08-25,22:15,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.5C,-,52.214kWh,"1,646W",
2014-08-25 22:10:00,2014-08-25,22:10,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.5C,-,52.077kWh,"1,619W",
2014-08-25 22:05:00,2014-08-25,22:05,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.5C,-,51.942kWh,"1,678W",
2014-08-25 22:00:00,2014-08-25,22:00,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.4C,-,51.802kWh,"1,603W",
2014-08-25 21:55:00,2014-08-25,21:55,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.5C,-,51.669kWh,"1,682W",
2014-08-25 21:50:00,2014-08-25,21:50,64.940kWh,4.576kWh/kW,0,0W,0.000kW/kW,15.5C,-,51.529kWh,"1,686W",
