datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-09-05 23:55:00,2014-09-05,23:55,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,56.460kWh,"1,364W",
2014-09-05 23:50:00,2014-09-05,23:50,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,56.347kWh,"1,476W",
2014-09-05 23:45:00,2014-09-05,23:45,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,56.224kWh,"5,217W",
2014-09-05 23:40:00,2014-09-05,23:40,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,55.789kWh,"4,076W",
2014-09-05 23:35:00,2014-09-05,23:35,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,55.449kWh,"1,505W",
2014-09-05 23:30:00,2014-09-05,23:30,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,55.324kWh,"1,478W",
2014-09-05 23:25:00,2014-09-05,23:25,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,55.201kWh,"1,449W",
2014-09-05 23:20:00,2014-09-05,23:20,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,55.080kWh,"1,708W",
2014-09-05 23:15:00,2014-09-05,23:15,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,54.938kWh,"1,747W",
2014-09-05 23:10:00,2014-09-05,23:10,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,54.792kWh,"1,880W",
2014-09-05 23:05:00,2014-09-05,23:05,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,-,-,54.635kWh,"5,434W",
2014-09-05 23:00:00,2014-09-05,23:00,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.7C,-,54.183kWh,"5,491W",
2014-09-05 22:55:00,2014-09-05,22:55,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.8C,-,53.725kWh,"5,485W",
2014-09-05 22:50:00,2014-09-05,22:50,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.8C,-,53.268kWh,"5,486W",
2014-09-05 22:45:00,2014-09-05,22:45,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.8C,-,52.811kWh,"5,515W",
2014-09-05 22:40:00,2014-09-05,22:40,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.8C,-,52.351kWh,"1,812W",
2014-09-05 22:35:00,2014-09-05,22:35,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.8C,-,52.200kWh,"1,814W",
2014-09-05 22:30:00,2014-09-05,22:30,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.8C,-,52.049kWh,"1,793W",
2014-09-05 22:25:00,2014-09-05,22:25,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,11.9C,-,51.900kWh,"1,684W",
2014-09-05 22:20:00,2014-09-05,22:20,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.0C,-,51.759kWh,"1,568W",
2014-09-05 22:15:00,2014-09-05,22:15,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.0C,-,51.629kWh,"4,105W",
2014-09-05 22:10:00,2014-09-05,22:10,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.1C,-,51.287kWh,"2,050W",
2014-09-05 22:05:00,2014-09-05,22:05,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.2C,-,51.116kWh,"1,711W",
2014-09-05 22:00:00,2014-09-05,22:00,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.3C,-,50.973kWh,"1,823W",
2014-09-05 21:55:00,2014-09-05,21:55,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.3C,-,50.821kWh,"4,705W",
2014-09-05 21:50:00,2014-09-05,21:50,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.3C,-,50.429kWh,"4,613W",
2014-09-05 21:45:00,2014-09-05,21:45,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.3C,-,50.045kWh,"4,650W",
2014-09-05 21:40:00,2014-09-05,21:40,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.4C,-,49.657kWh,"4,647W",
2014-09-05 21:35:00,2014-09-05,21:35,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.4C,-,49.270kWh,"4,607W",
2014-09-05 21:30:00,2014-09-05,21:30,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.4C,-,48.886kWh,"4,688W",
2014-09-05 21:25:00,2014-09-05,21:25,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.4C,-,48.495kWh,"1,732W",
2014-09-05 21:20:00,2014-09-05,21:20,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.4C,-,48.351kWh,"1,726W",
2014-09-05 21:15:00,2014-09-05,21:15,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.4C,-,48.207kWh,"1,729W",
2014-09-05 21:10:00,2014-09-05,21:10,16.334kWh,1.151kWh/kW,0,0W,0.000kW/kW,12.5C,-,48.063kWh,"1,742W",
