datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-07-31 23:55:00,2014-07-31,23:55,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,54.129kWh,"2,008W",
2014-07-31 23:50:00,2014-07-31,23:50,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.961kWh,"1,918W",
2014-07-31 23:45:00,2014-07-31,23:45,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.802kWh,"1,823W",
2014-07-31 23:40:00,2014-07-31,23:40,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.650kWh,"1,828W",
2014-07-31 23:35:00,2014-07-31,23:35,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.497kWh,"1,891W",
2014-07-31 23:30:00,2014-07-31,23:30,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.340kWh,"1,932W",
2014-07-31 23:25:00,2014-07-31,23:25,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.179kWh,"1,921W",
2014-07-31 23:20:00,2014-07-31,23:20,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,53.019kWh,"1,924W",
2014-07-31 23:15:00,2014-07-31,23:15,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,52.858kWh,"1,894W",
2014-07-31 23:10:00,2014-07-31,23:10,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,52.700kWh,"1,969W",
2014-07-31 23:05:00,2014-07-31,23:05,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,-,-,52.536kWh,"2,410W",
2014-07-31 23:00:00,2014-07-31,23:00,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.4C,-,52.335kWh,"2,337W",
2014-07-31 22:55:00,2014-07-31,22:55,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.4C,-,52.141kWh,"2,438W",
2014-07-31 22:50:00,2014-07-31,22:50,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.4C,-,51.938kWh,"2,150W",
2014-07-31 22:45:00,2014-07-31,22:45,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.4C,-,51.758kWh,"1,981W",
2014-07-31 22:40:00,2014-07-31,22:40,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.5C,-,51.593kWh,"2,017W",
2014-07-31 22:35:00,2014-07-31,22:35,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.5C,-,51.425kWh,"1,922W",
2014-07-31 22:30:00,2014-07-31,22:30,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.7C,-,51.265kWh,"1,985W",
2014-07-31 22:25:00,2014-07-31,22:25,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.9C,-,51.100kWh,"2,024W",
2014-07-31 22:20:00,2014-07-31,22:20,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.7C,-,50.931kWh,"2,031W",
2014-07-31 22:15:00,2014-07-31,22:15,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.7C,-,50.762kWh,"2,045W",
2014-07-31 22:10:00,2014-07-31,22:10,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.8C,-,50.591kWh,"1,882W",
2014-07-31 22:05:00,2014-07-31,22:05,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.7C,-,50.434kWh,"1,942W",
2014-07-31 22:00:00,2014-07-31,22:00,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.8C,-,50.273kWh,"1,979W",
2014-07-31 21:55:00,2014-07-31,21:55,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.8C,-,50.108kWh,"1,777W",
2014-07-31 21:50:00,2014-07-31,21:50,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.8C,-,49.960kWh,"1,757W",
2014-07-31 21:45:00,2014-07-31,21:45,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.7C,-,49.813kWh,"1,630W",
2014-07-31 21:40:00,2014-07-31,21:40,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.7C,-,49.677kWh,"1,676W",
2014-07-31 21:35:00,2014-07-31,21:35,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,16.9C,-,49.538kWh,"1,634W",
2014-07-31 21:30:00,2014-07-31,21:30,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.0C,-,49.402kWh,"1,633W",
2014-07-31 21:25:00,2014-07-31,21:25,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.2C,-,49.265kWh,"1,685W",
2014-07-31 21:20:00,2014-07-31,21:20,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.2C,-,49.125kWh,"1,701W",
2014-07-31 21:15:00,2014-07-31,21:15,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.2C,-,48.983kWh,"1,802W",
2014-07-31 21:10:00,2014-07-31,21:10,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.3C,-,48.833kWh,"1,791W",
2014-07-31 21:05:00,2014-07-31,21:05,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.4C,-,48.684kWh,"1,781W",
2014-07-31 21:00:00,2014-07-31,21:00,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.5C,-,48.536kWh,"6,928W",
2014-07-31 20:55:00,2014-07-31,20:55,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.8C,-,47.958kWh,"7,335W",
2014-07-31 20:50:00,2014-07-31,20:50,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,17.8C,-,47.347kWh,"7,335W",
2014-07-31 20:45:00,2014-07-31,20:45,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,18.2C,-,46.736kWh,"7,250W",
2014-07-31 20:40:00,2014-07-31,20:40,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,18.5C,-,46.132kWh,"3,118W",
2014-07-31 20:35:00,2014-07-31,20:35,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,19.0C,-,45.872kWh,"2,236W",
2014-07-31 20:30:00,2014-07-31,20:30,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,19.8C,-,45.685kWh,"3,968W",
2014-07-31 20:25:00,2014-07-31,20:25,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,20.6C,-,45.355kWh,"4,986W",
2014-07-31 20:20:00,2014-07-31,20:20,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,20.7C,-,44.939kWh,"4,939W",
2014-07-31 20:15:00,2014-07-31,20:15,68.117kWh,4.800kWh/kW,0,0W,0.000kW/kW,20.8C,-,44.528kWh,"4,927W",
2014-07-31 20:10:00,2014-07-31,20:10,68.117kWh,4.800kWh/kW,1,0W,0.000kW/kW,20.9C,-,44.117kWh,"4,840W",
2014-07-31 20:05:00,2014-07-31,20:05,68.117kWh,4.800kWh/kW,7,12W,0.001kW/kW,21.1C,-,43.714kWh,"4,187W",
2014-07-31 20:00:00,2014-07-31,20:00,68.116kWh,4.800kWh/kW,24,24W,0.002kW/kW,21.3C,-,43.365kWh,"4,261W",
2014-07-31 19:55:00,2014-07-31,19:55,68.114kWh,4.800kWh/kW,51,48W,0.003kW/kW,21.7C,-,43.010kWh,"4,139W",
2014-07-31 19:50:00,2014-07-31,19:50,68.110kWh,4.800kWh/kW,81,84W,0.006kW/kW,21.7C,-,42.665kWh,"4,241W",
2014-07-31 19:45:00,2014-07-31,19:45,68.103kWh,4.799kWh/kW,118,120W,0.008kW/kW,22.7C,-,42.311kWh,"4,292W",
2014-07-31 19:40:00,2014-07-31,19:40,68.093kWh,4.799kWh/kW,185,180W,0.013kW/kW,23.7C,-,41.954kWh,"1,594W",
2014-07-31 19:35:00,2014-07-31,19:35,68.078kWh,4.798kWh/kW,256,252W,0.018kW/kW,24.2C,-,41.821kWh,"1,775W",
2014-07-31 19:30:00,2014-07-31,19:30,68.057kWh,4.796kWh/kW,298,300W,0.021kW/kW,24.4C,-,41.673kWh,"3,551W",
2014-07-31 19:25:00,2014-07-31,19:25,68.032kWh,4.794kWh/kW,338,336W,0.024kW/kW,24.7C,-,41.377kWh,"3,746W",
2014-07-31 19:20:00,2014-07-31,19:20,68.004kWh,4.792kWh/kW,398,396W,0.028kW/kW,25.7C,-,41.065kWh,"3,569W",
2014-07-31 19:15:00,2014-07-31,19:15,67.971kWh,4.790kWh/kW,473,468W,0.033kW/kW,26.0C,-,40.767kWh,"3,551W",
2014-07-31 19:10:00,2014-07-31,19:10,67.932kWh,4.787kWh/kW,561,564W,0.040kW/kW,25.8C,-,40.472kWh,"3,537W",
2014-07-31 19:05:00,2014-07-31,19:05,67.885kWh,4.784kWh/kW,642,648W,0.046kW/kW,26.0C,-,40.177kWh,"3,588W",
