datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-06-01 23:55:00,2014-06-01,23:55,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,98.146kWh,"1,230W",
2014-06-01 23:50:00,2014-06-01,23:50,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,98.043kWh,"1,167W",
2014-06-01 23:45:00,2014-06-01,23:45,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,97.946kWh,"4,872W",
2014-06-01 23:40:00,2014-06-01,23:40,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,97.540kWh,"4,903W",
2014-06-01 23:35:00,2014-06-01,23:35,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,97.131kWh,"7,193W",
2014-06-01 23:30:00,2014-06-01,23:30,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,96.532kWh,"7,169W",
2014-06-01 23:25:00,2014-06-01,23:25,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,95.935kWh,"12,618W",
2014-06-01 23:20:00,2014-06-01,23:20,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,94.883kWh,"12,585W",
2014-06-01 23:15:00,2014-06-01,23:15,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,93.834kWh,"10,751W",
2014-06-01 23:10:00,2014-06-01,23:10,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,92.938kWh,"10,964W",
2014-06-01 23:05:00,2014-06-01,23:05,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,-,-,92.025kWh,"6,952W",
2014-06-01 23:00:00,2014-06-01,23:00,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,15.2C,-,91.445kWh,"7,000W",
2014-06-01 22:55:00,2014-06-01,22:55,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,15.1C,-,90.862kWh,"7,036W",
2014-06-01 22:50:00,2014-06-01,22:50,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,15.1C,-,90.276kWh,"7,082W",
2014-06-01 22:45:00,2014-06-01,22:45,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,15.1C,-,89.686kWh,"6,861W",
2014-06-01 22:40:00,2014-06-01,22:40,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,15.1C,-,89.114kWh,"6,813W",
2014-06-01 22:35:00,2014-06-01,22:35,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,15.0C,-,88.546kWh,"6,829W",
2014-06-01 22:30:00,2014-06-01,22:30,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,14.9C,-,87.977kWh,"6,795W",
2014-06-01 22:25:00,2014-06-01,22:25,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,14.8C,-,87.411kWh,"6,827W",
2014-06-01 22:20:00,2014-06-01,22:20,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,14.7C,-,86.842kWh,"6,815W",
2014-06-01 22:15:00,2014-06-01,22:15,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,14.7C,-,86.274kWh,"6,806W",
2014-06-01 22:10:00,2014-06-01,22:10,73.150kWh,5.155kWh/kW,0,0W,0.000kW/kW,14.8C,-,85.707kWh,"6,802W",
