datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-04-15 23:55:00,2014-04-15,23:55,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,79.054kWh,"3,992W",
2014-04-15 23:50:00,2014-04-15,23:50,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,78.721kWh,"3,855W",
2014-04-15 23:45:00,2014-04-15,23:45,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,78.400kWh,"3,947W",
2014-04-15 23:40:00,2014-04-15,23:40,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,78.071kWh,"3,949W",
2014-04-15 23:35:00,2014-04-15,23:35,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,77.742kWh,"3,965W",
2014-04-15 23:30:00,2014-04-15,23:30,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,77.412kWh,"7,725W",
2014-04-15 23:25:00,2014-04-15,23:25,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,76.768kWh,"6,493W",
2014-04-15 23:20:00,2014-04-15,23:20,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,76.227kWh,"4,191W",
2014-04-15 23:15:00,2014-04-15,23:15,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,75.878kWh,"4,252W",
2014-04-15 23:10:00,2014-04-15,23:10,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,75.523kWh,"4,423W",
2014-04-15 23:05:00,2014-04-15,23:05,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,-,-,75.155kWh,"5,777W",
2014-04-15 23:00:00,2014-04-15,23:00,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,13.3C,-,74.673kWh,"5,785W",
2014-04-15 22:55:00,2014-04-15,22:55,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,12.7C,-,74.191kWh,"15,338W",
2014-04-15 22:50:00,2014-04-15,22:50,73.630kWh,5.189kWh/kW,0,0W,0.000kW/kW,12.7C,-,72.913kWh,"15,247W",
