datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-08-03 23:55:00,2014-08-03,23:55,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,64.340kWh,"1,371W",
2014-08-03 23:50:00,2014-08-03,23:50,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,64.226kWh,"1,591W",
2014-08-03 23:45:00,2014-08-03,23:45,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,64.094kWh,"1,598W",
2014-08-03 23:40:00,2014-08-03,23:40,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,63.960kWh,"1,531W",
2014-08-03 23:35:00,2014-08-03,23:35,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,63.833kWh,"3,884W",
2014-08-03 23:30:00,2014-08-03,23:30,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,63.509kWh,"11,775W",
2014-08-03 23:25:00,2014-08-03,23:25,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,62.528kWh,"9,158W",
2014-08-03 23:20:00,2014-08-03,23:20,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,61.765kWh,"9,166W",
2014-08-03 23:15:00,2014-08-03,23:15,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,61.001kWh,"9,188W",
2014-08-03 23:10:00,2014-08-03,23:10,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,60.235kWh,"2,703W",
2014-08-03 23:05:00,2014-08-03,23:05,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,-,-,60.010kWh,"5,271W",
2014-08-03 23:00:00,2014-08-03,23:00,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.6C,-,59.571kWh,"5,280W",
2014-08-03 22:55:00,2014-08-03,22:55,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.4C,-,59.131kWh,"5,383W",
2014-08-03 22:50:00,2014-08-03,22:50,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.4C,-,58.682kWh,"1,751W",
2014-08-03 22:45:00,2014-08-03,22:45,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.4C,-,58.536kWh,"3,753W",
2014-08-03 22:40:00,2014-08-03,22:40,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.3C,-,58.224kWh,"3,889W",
2014-08-03 22:35:00,2014-08-03,22:35,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.6C,-,57.899kWh,"3,849W",
2014-08-03 22:30:00,2014-08-03,22:30,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.8C,-,57.579kWh,"3,833W",
2014-08-03 22:25:00,2014-08-03,22:25,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.9C,-,57.259kWh,"3,944W",
2014-08-03 22:20:00,2014-08-03,22:20,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,22.0C,-,56.931kWh,"3,548W",
2014-08-03 22:15:00,2014-08-03,22:15,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,21.9C,-,56.635kWh,"1,729W",
2014-08-03 22:10:00,2014-08-03,22:10,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,22.1C,-,56.491kWh,"1,763W",
2014-08-03 22:05:00,2014-08-03,22:05,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,23.3C,-,56.344kWh,"1,773W",
2014-08-03 22:00:00,2014-08-03,22:00,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,23.4C,-,56.196kWh,"1,938W",
2014-08-03 21:55:00,2014-08-03,21:55,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.1C,-,56.035kWh,"1,876W",
2014-08-03 21:50:00,2014-08-03,21:50,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.1C,-,55.878kWh,"1,860W",
2014-08-03 21:45:00,2014-08-03,21:45,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.1C,-,55.723kWh,"1,633W",
2014-08-03 21:40:00,2014-08-03,21:40,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.3C,-,55.587kWh,"1,625W",
2014-08-03 21:35:00,2014-08-03,21:35,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.5C,-,55.452kWh,"1,636W",
2014-08-03 21:30:00,2014-08-03,21:30,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.6C,-,55.316kWh,"1,647W",
2014-08-03 21:25:00,2014-08-03,21:25,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.6C,-,55.178kWh,"1,588W",
2014-08-03 21:20:00,2014-08-03,21:20,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.5C,-,55.046kWh,"1,689W",
2014-08-03 21:15:00,2014-08-03,21:15,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,24.7C,-,54.905kWh,"3,758W",
2014-08-03 21:10:00,2014-08-03,21:10,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,25.0C,-,54.592kWh,"3,673W",
2014-08-03 21:05:00,2014-08-03,21:05,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,25.0C,-,54.286kWh,"3,794W",
2014-08-03 21:00:00,2014-08-03,21:00,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,25.1C,-,53.970kWh,"3,726W",
2014-08-03 20:55:00,2014-08-03,20:55,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,53.659kWh,"3,642W",
2014-08-03 20:50:00,2014-08-03,20:50,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,53.356kWh,"3,745W",
2014-08-03 20:45:00,2014-08-03,20:45,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,53.044kWh,"3,733W",
2014-08-03 20:40:00,2014-08-03,20:40,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,52.733kWh,"2,108W",
2014-08-03 20:35:00,2014-08-03,20:35,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,52.557kWh,"1,969W",
2014-08-03 20:30:00,2014-08-03,20:30,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,52.393kWh,"1,658W",
2014-08-03 20:25:00,2014-08-03,20:25,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,52.255kWh,"1,954W",
2014-08-03 20:20:00,2014-08-03,20:20,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,52.092kWh,"2,059W",
2014-08-03 20:15:00,2014-08-03,20:15,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,51.920kWh,"1,937W",
2014-08-03 20:10:00,2014-08-03,20:10,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,51.759kWh,"2,024W",
2014-08-03 20:05:00,2014-08-03,20:05,83.465kWh,5.882kWh/kW,0,0W,0.000kW/kW,33.1C,-,51.590kWh,"2,591W",
2014-08-03 20:00:00,2014-08-03,20:00,83.465kWh,5.882kWh/kW,66,72W,0.005kW/kW,33.1C,-,51.374kWh,"2,798W",
2014-08-03 19:55:00,2014-08-03,19:55,83.459kWh,5.882kWh/kW,115,120W,0.008kW/kW,33.1C,-,51.141kWh,"4,115W",
2014-08-03 19:50:00,2014-08-03,19:50,83.449kWh,5.881kWh/kW,160,156W,0.011kW/kW,33.1C,-,50.798kWh,"5,616W",
2014-08-03 19:45:00,2014-08-03,19:45,83.436kWh,5.880kWh/kW,225,228W,0.016kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:40:00,2014-08-03,19:40,83.417kWh,5.879kWh/kW,313,312W,0.022kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:35:00,2014-08-03,19:35,83.391kWh,5.877kWh/kW,401,396W,0.028kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:30:00,2014-08-03,19:30,83.358kWh,5.874kWh/kW,483,480W,0.034kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:25:00,2014-08-03,19:25,83.318kWh,5.872kWh/kW,563,564W,0.040kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:20:00,2014-08-03,19:20,83.271kWh,5.868kWh/kW,631,636W,0.045kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:15:00,2014-08-03,19:15,83.218kWh,5.865kWh/kW,745,744W,0.052kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:10:00,2014-08-03,19:10,83.156kWh,5.860kWh/kW,745,744W,0.052kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:05:00,2014-08-03,19:05,83.094kWh,5.856kWh/kW,838,840W,0.059kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 19:00:00,2014-08-03,19:00,83.024kWh,5.851kWh/kW,956,960W,0.068kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 18:55:00,2014-08-03,18:55,82.944kWh,5.845kWh/kW,1055,"1,056W",0.074kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 18:50:00,2014-08-03,18:50,82.856kWh,5.839kWh/kW,1165,"1,164W",0.082kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 18:45:00,2014-08-03,18:45,82.759kWh,5.832kWh/kW,1348,"1,344W",0.095kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 18:40:00,2014-08-03,18:40,82.647kWh,5.824kWh/kW,1522,"1,524W",0.107kW/kW,33.1C,-,50.330kWh,0W,
2014-08-03 18:35:00,2014-08-03,18:35,82.520kWh,5.815kWh/kW,1592,"1,596W",0.112kW/kW,34.5C,-,50.330kWh,0W,
2014-08-03 18:30:00,2014-08-03,18:30,82.387kWh,5.806kWh/kW,1668,"1,668W",0.118kW/kW,34.5C,-,50.330kWh,0W,
2014-08-03 18:25:00,2014-08-03,18:25,82.248kWh,5.796kWh/kW,1825,"1,824W",0.129kW/kW,34.5C,-,50.330kWh,0W,
2014-08-03 18:20:00,2014-08-03,18:20,82.096kWh,5.785kWh/kW,1910,"1,908W",0.134kW/kW,34.5C,-,50.330kWh,0W,
2014-08-03 18:15:00,2014-08-03,18:15,81.937kWh,5.774kWh/kW,1883,"1,884W",0.133kW/kW,34.5C,-,50.330kWh,0W,
2014-08-03 18:10:00,2014-08-03,18:10,81.780kWh,5.763kWh/kW,2072,"2,076W",0.146kW/kW,34.5C,-,50.330kWh,"4,684W",
2014-08-03 18:05:00,2014-08-03,18:05,81.607kWh,5.751kWh/kW,2147,"2,148W",0.151kW/kW,34.5C,-,49.940kWh,0W,
2014-08-03 18:00:00,2014-08-03,18:00,81.428kWh,5.738kWh/kW,2352,"2,352W",0.166kW/kW,35.3C,-,49.940kWh,"5,799W",
2014-08-03 17:55:00,2014-08-03,17:55,81.232kWh,5.725kWh/kW,2644,"2,640W",0.186kW/kW,35.6C,-,49.457kWh,"2,281W",
2014-08-03 17:50:00,2014-08-03,17:50,81.012kWh,5.709kWh/kW,2944,"2,940W",0.207kW/kW,35.6C,-,49.267kWh,"2,399W",
2014-08-03 17:45:00,2014-08-03,17:45,80.767kWh,5.692kWh/kW,3274,"3,276W",0.231kW/kW,35.6C,-,49.067kWh,0W,
2014-08-03 17:40:00,2014-08-03,17:40,80.494kWh,5.673kWh/kW,3605,"3,600W",0.254kW/kW,35.6C,-,49.067kWh,0W,
2014-08-03 17:35:00,2014-08-03,17:35,80.194kWh,5.651kWh/kW,3526,"3,528W",0.249kW/kW,35.6C,-,49.067kWh,0W,
2014-08-03 17:30:00,2014-08-03,17:30,79.900kWh,5.631kWh/kW,3484,"3,480W",0.245kW/kW,35.6C,-,49.067kWh,"4,540W",
2014-08-03 17:25:00,2014-08-03,17:25,79.610kWh,5.610kWh/kW,3721,"3,720W",0.262kW/kW,35.6C,-,48.688kWh,"4,532W",
2014-08-03 17:20:00,2014-08-03,17:20,79.300kWh,5.588kWh/kW,3704,"3,708W",0.261kW/kW,35.3C,-,48.311kWh,"4,550W",
2014-08-03 17:15:00,2014-08-03,17:15,78.991kWh,5.567kWh/kW,3549,"3,552W",0.250kW/kW,34.3C,-,47.931kWh,"4,694W",
2014-08-03 17:10:00,2014-08-03,17:10,78.695kWh,5.546kWh/kW,3839,"3,840W",0.271kW/kW,34.6C,-,47.540kWh,"6,188W",
2014-08-03 17:05:00,2014-08-03,17:05,78.375kWh,5.523kWh/kW,4477,"4,476W",0.315kW/kW,35.4C,-,47.025kWh,"5,721W",
2014-08-03 17:00:00,2014-08-03,17:00,78.002kWh,5.497kWh/kW,5190,"5,196W",0.366kW/kW,35.4C,-,46.548kWh,"7,545W",
2014-08-03 16:55:00,2014-08-03,16:55,77.569kWh,5.466kWh/kW,5446,"5,448W",0.384kW/kW,31.0C,-,45.919kWh,"3,510W",
2014-08-03 16:50:00,2014-08-03,16:50,77.115kWh,5.434kWh/kW,5486,"5,484W",0.386kW/kW,31.0C,-,45.627kWh,"3,532W",
2014-08-03 16:45:00,2014-08-03,16:45,76.658kWh,5.402kWh/kW,5728,"5,724W",0.403kW/kW,31.0C,-,45.332kWh,"1,350W",
2014-08-03 16:40:00,2014-08-03,16:40,76.181kWh,5.369kWh/kW,5509,"5,508W",0.388kW/kW,31.0C,-,45.220kWh,"1,333W",
2014-08-03 16:35:00,2014-08-03,16:35,75.722kWh,5.336kWh/kW,4098,"4,104W",0.289kW/kW,31.0C,-,45.109kWh,"1,342W",
2014-08-03 16:30:00,2014-08-03,16:30,75.380kWh,5.312kWh/kW,3195,"3,192W",0.225kW/kW,31.2C,-,44.997kWh,"1,706W",
2014-08-03 16:25:00,2014-08-03,16:25,75.114kWh,5.293kWh/kW,4802,"4,800W",0.338kW/kW,31.6C,-,44.855kWh,"8,668W",
2014-08-03 16:20:00,2014-08-03,16:20,74.714kWh,5.265kWh/kW,5672,"5,676W",0.400kW/kW,31.2C,-,44.132kWh,"3,479W",
2014-08-03 16:15:00,2014-08-03,16:15,74.241kWh,5.232kWh/kW,6583,"6,588W",0.464kW/kW,32.2C,-,43.842kWh,"3,469W",
2014-08-03 16:10:00,2014-08-03,16:10,73.692kWh,5.193kWh/kW,7509,"7,512W",0.529kW/kW,31.7C,-,43.553kWh,"3,610W",
2014-08-03 16:05:00,2014-08-03,16:05,73.066kWh,5.149kWh/kW,6086,"6,084W",0.429kW/kW,32.3C,-,43.253kWh,"3,679W",
2014-08-03 16:00:00,2014-08-03,16:00,72.559kWh,5.113kWh/kW,4179,"4,176W",0.294kW/kW,32.4C,-,42.946kWh,"3,790W",
2014-08-03 15:55:00,2014-08-03,15:55,72.211kWh,5.089kWh/kW,4816,"4,812W",0.339kW/kW,33.3C,-,42.630kWh,"3,854W",
2014-08-03 15:50:00,2014-08-03,15:50,71.810kWh,5.061kWh/kW,6853,"6,852W",0.483kW/kW,33.3C,-,42.309kWh,"3,732W",
2014-08-03 15:45:00,2014-08-03,15:45,71.239kWh,5.020kWh/kW,7780,"7,776W",0.548kW/kW,33.3C,-,41.998kWh,"6,304W",
2014-08-03 15:40:00,2014-08-03,15:40,70.591kWh,4.975kWh/kW,8142,"8,148W",0.574kW/kW,33.0C,-,41.473kWh,"6,248W",
2014-08-03 15:35:00,2014-08-03,15:35,69.912kWh,4.927kWh/kW,8315,"8,316W",0.586kW/kW,34.4C,-,40.952kWh,"6,279W",
2014-08-03 15:30:00,2014-08-03,15:30,69.219kWh,4.878kWh/kW,8408,"8,412W",0.593kW/kW,35.1C,-,40.429kWh,"6,225W",
2014-08-03 15:25:00,2014-08-03,15:25,68.518kWh,4.829kWh/kW,8639,"8,640W",0.609kW/kW,34.6C,-,39.910kWh,"6,156W",
2014-08-03 15:20:00,2014-08-03,15:20,67.798kWh,4.778kWh/kW,8841,"8,844W",0.623kW/kW,33.5C,-,39.397kWh,"6,114W",
2014-08-03 15:15:00,2014-08-03,15:15,67.061kWh,4.726kWh/kW,8905,"8,904W",0.627kW/kW,31.6C,-,38.887kWh,"6,084W",
2014-08-03 15:10:00,2014-08-03,15:10,66.319kWh,4.674kWh/kW,9069,"9,072W",0.639kW/kW,30.5C,-,38.380kWh,"7,026W",
2014-08-03 15:05:00,2014-08-03,15:05,65.563kWh,4.620kWh/kW,9283,"9,288W",0.655kW/kW,31.4C,-,37.795kWh,"6,920W",
2014-08-03 15:00:00,2014-08-03,15:00,64.789kWh,4.566kWh/kW,9380,"9,384W",0.661kW/kW,32.3C,-,37.218kWh,"3,468W",
2014-08-03 14:55:00,2014-08-03,14:55,64.007kWh,4.511kWh/kW,9520,"9,516W",0.671kW/kW,31.5C,-,36.929kWh,"2,860W",
2014-08-03 14:50:00,2014-08-03,14:50,63.214kWh,4.455kWh/kW,9732,"9,732W",0.686kW/kW,31.5C,-,36.691kWh,"4,598W",
2014-08-03 14:45:00,2014-08-03,14:45,62.403kWh,4.398kWh/kW,9977,"9,972W",0.703kW/kW,31.5C,-,36.308kWh,"4,673W",
2014-08-03 14:40:00,2014-08-03,14:40,61.572kWh,4.339kWh/kW,10001,"9,996W",0.704kW/kW,33.6C,-,35.918kWh,"4,645W",
2014-08-03 14:35:00,2014-08-03,14:35,60.739kWh,4.280kWh/kW,9774,"9,780W",0.689kW/kW,33.1C,-,35.531kWh,"4,503W",
2014-08-03 14:30:00,2014-08-03,14:30,59.924kWh,4.223kWh/kW,9457,"9,456W",0.666kW/kW,32.4C,-,35.156kWh,"4,660W",
2014-08-03 14:25:00,2014-08-03,14:25,59.136kWh,4.167kWh/kW,9717,"9,720W",0.685kW/kW,33.1C,-,34.768kWh,"4,685W",
2014-08-03 14:20:00,2014-08-03,14:20,58.326kWh,4.110kWh/kW,10434,"10,440W",0.736kW/kW,32.7C,-,34.377kWh,"6,212W",
2014-08-03 14:15:00,2014-08-03,14:15,57.456kWh,4.049kWh/kW,10357,"10,356W",0.730kW/kW,33.2C,-,33.860kWh,"6,854W",
2014-08-03 14:10:00,2014-08-03,14:10,56.593kWh,3.988kWh/kW,10316,"10,320W",0.727kW/kW,32.8C,-,33.288kWh,"6,641W",
2014-08-03 14:05:00,2014-08-03,14:05,55.733kWh,3.928kWh/kW,10358,"10,356W",0.730kW/kW,34.1C,-,32.735kWh,"7,216W",
2014-08-03 14:00:00,2014-08-03,14:00,54.870kWh,3.867kWh/kW,10495,"10,500W",0.740kW/kW,33.3C,-,32.134kWh,"7,165W",
2014-08-03 13:55:00,2014-08-03,13:55,53.995kWh,3.805kWh/kW,10738,"10,740W",0.757kW/kW,30.5C,-,31.537kWh,"7,086W",
2014-08-03 13:50:00,2014-08-03,13:50,53.100kWh,3.742kWh/kW,10680,"10,680W",0.753kW/kW,30.5C,-,30.946kWh,"6,992W",
2014-08-03 13:45:00,2014-08-03,13:45,52.210kWh,3.679kWh/kW,10625,"10,620W",0.748kW/kW,30.5C,-,30.363kWh,"7,069W",
2014-08-03 13:40:00,2014-08-03,13:40,51.325kWh,3.617kWh/kW,10839,"10,836W",0.764kW/kW,30.2C,-,29.774kWh,"7,059W",
2014-08-03 13:35:00,2014-08-03,13:35,50.422kWh,3.553kWh/kW,11032,"11,028W",0.777kW/kW,31.2C,-,29.186kWh,"7,259W",
2014-08-03 13:30:00,2014-08-03,13:30,49.503kWh,3.489kWh/kW,11191,"11,196W",0.789kW/kW,30.4C,-,28.581kWh,"5,012W",
2014-08-03 13:25:00,2014-08-03,13:25,48.570kWh,3.423kWh/kW,11399,"11,400W",0.803kW/kW,29.6C,-,28.164kWh,"4,951W",
2014-08-03 13:20:00,2014-08-03,13:20,47.620kWh,3.356kWh/kW,11425,"11,424W",0.805kW/kW,29.6C,-,27.751kWh,"4,774W",
2014-08-03 13:15:00,2014-08-03,13:15,46.668kWh,3.289kWh/kW,11389,"11,388W",0.803kW/kW,30.6C,-,27.353kWh,"4,803W",
2014-08-03 13:10:00,2014-08-03,13:10,45.719kWh,3.222kWh/kW,11402,"11,400W",0.803kW/kW,30.6C,-,26.953kWh,"2,085W",
2014-08-03 13:05:00,2014-08-03,13:05,44.769kWh,3.155kWh/kW,11463,"11,460W",0.808kW/kW,30.4C,-,26.779kWh,"2,112W",
2014-08-03 13:00:00,2014-08-03,13:00,43.814kWh,3.088kWh/kW,11475,"11,472W",0.808kW/kW,29.6C,-,26.603kWh,"2,106W",
2014-08-03 12:55:00,2014-08-03,12:55,42.858kWh,3.020kWh/kW,11507,"11,508W",0.811kW/kW,28.8C,-,26.428kWh,"2,088W",
2014-08-03 12:50:00,2014-08-03,12:50,41.899kWh,2.953kWh/kW,11607,"11,604W",0.818kW/kW,28.8C,-,26.254kWh,"1,107W",
2014-08-03 12:45:00,2014-08-03,12:45,40.932kWh,2.885kWh/kW,11740,"11,736W",0.827kW/kW,28.8C,-,26.161kWh,"1,111W",
2014-08-03 12:40:00,2014-08-03,12:40,39.954kWh,2.816kWh/kW,11809,"11,808W",0.832kW/kW,29.1C,-,26.069kWh,"1,145W",
2014-08-03 12:35:00,2014-08-03,12:35,38.970kWh,2.746kWh/kW,11773,"11,772W",0.830kW/kW,30.6C,-,25.973kWh,"2,954W",
2014-08-03 12:30:00,2014-08-03,12:30,37.989kWh,2.677kWh/kW,11761,"11,760W",0.829kW/kW,30.6C,-,25.727kWh,"3,530W",
