datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-07-12 23:55:00,2014-07-12,23:55,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,74.600kWh,"1,495W",
2014-07-12 23:50:00,2014-07-12,23:50,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,74.475kWh,"1,515W",
2014-07-12 23:45:00,2014-07-12,23:45,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,74.349kWh,"1,522W",
2014-07-12 23:40:00,2014-07-12,23:40,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,74.222kWh,"1,692W",
2014-07-12 23:35:00,2014-07-12,23:35,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,74.081kWh,"1,519W",
2014-07-12 23:30:00,2014-07-12,23:30,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,73.955kWh,"1,518W",
2014-07-12 23:25:00,2014-07-12,23:25,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,73.828kWh,"5,219W",
2014-07-12 23:20:00,2014-07-12,23:20,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,73.393kWh,"2,785W",
2014-07-12 23:15:00,2014-07-12,23:15,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,73.161kWh,"5,483W",
2014-07-12 23:10:00,2014-07-12,23:10,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,72.704kWh,"5,338W",
2014-07-12 23:05:00,2014-07-12,23:05,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,-,-,72.259kWh,"7,584W",
2014-07-12 23:00:00,2014-07-12,23:00,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.4C,-,71.627kWh,"7,795W",
2014-07-12 22:55:00,2014-07-12,22:55,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.2C,-,70.978kWh,"11,845W",
2014-07-12 22:50:00,2014-07-12,22:50,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.2C,-,69.991kWh,"5,899W",
2014-07-12 22:45:00,2014-07-12,22:45,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.2C,-,69.499kWh,"5,948W",
2014-07-12 22:40:00,2014-07-12,22:40,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.2C,-,69.003kWh,"6,017W",
2014-07-12 22:35:00,2014-07-12,22:35,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.3C,-,68.502kWh,"6,023W",
2014-07-12 22:30:00,2014-07-12,22:30,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.3C,-,68.000kWh,"6,113W",
2014-07-12 22:25:00,2014-07-12,22:25,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.4C,-,67.491kWh,"5,959W",
2014-07-12 22:20:00,2014-07-12,22:20,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.4C,-,66.994kWh,"5,779W",
2014-07-12 22:15:00,2014-07-12,22:15,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.4C,-,66.513kWh,"5,900W",
2014-07-12 22:10:00,2014-07-12,22:10,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.4C,-,66.021kWh,"5,988W",
2014-07-12 22:05:00,2014-07-12,22:05,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.3C,-,65.522kWh,"6,228W",
2014-07-12 22:00:00,2014-07-12,22:00,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.5C,-,65.003kWh,"6,019W",
2014-07-12 21:55:00,2014-07-12,21:55,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.5C,-,64.501kWh,"6,130W",
2014-07-12 21:50:00,2014-07-12,21:50,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.5C,-,63.990kWh,"6,024W",
2014-07-12 21:45:00,2014-07-12,21:45,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.6C,-,63.488kWh,"6,124W",
2014-07-12 21:40:00,2014-07-12,21:40,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.6C,-,62.978kWh,"6,223W",
2014-07-12 21:35:00,2014-07-12,21:35,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.8C,-,62.459kWh,"6,164W",
2014-07-12 21:30:00,2014-07-12,21:30,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,18.9C,-,61.946kWh,"6,208W",
2014-07-12 21:25:00,2014-07-12,21:25,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,19.0C,-,61.428kWh,"6,136W",
2014-07-12 21:20:00,2014-07-12,21:20,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,19.2C,-,60.917kWh,"6,073W",
2014-07-12 21:15:00,2014-07-12,21:15,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,19.3C,-,60.411kWh,"6,020W",
2014-07-12 21:10:00,2014-07-12,21:10,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,19.6C,-,59.909kWh,"7,924W",
2014-07-12 21:05:00,2014-07-12,21:05,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,19.8C,-,59.249kWh,"8,250W",
2014-07-12 21:00:00,2014-07-12,21:00,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,20.1C,-,58.562kWh,"7,956W",
2014-07-12 20:55:00,2014-07-12,20:55,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,20.3C,-,57.899kWh,"7,849W",
2014-07-12 20:50:00,2014-07-12,20:50,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,20.3C,-,57.244kWh,"7,665W",
2014-07-12 20:45:00,2014-07-12,20:45,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,20.4C,-,56.606kWh,"9,288W",
2014-07-12 20:40:00,2014-07-12,20:40,56.142kWh,3.956kWh/kW,2,0W,0.000kW/kW,20.5C,-,55.832kWh,"5,699W",
2014-07-12 20:35:00,2014-07-12,20:35,56.142kWh,3.956kWh/kW,0,0W,0.000kW/kW,20.5C,-,55.357kWh,"5,691W",
2014-07-12 20:30:00,2014-07-12,20:30,56.142kWh,3.956kWh/kW,1,0W,0.000kW/kW,20.5C,-,54.883kWh,"5,868W",
2014-07-12 20:25:00,2014-07-12,20:25,56.142kWh,3.956kWh/kW,15,12W,0.001kW/kW,20.6C,-,54.394kWh,"5,577W",
