datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-08-27 23:55:00,2014-08-27,23:55,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.704kWh,"1,221W",
2014-08-27 23:50:00,2014-08-27,23:50,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.602kWh,"1,218W",
2014-08-27 23:45:00,2014-08-27,23:45,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.501kWh,"1,350W",
2014-08-27 23:40:00,2014-08-27,23:40,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.388kWh,"1,328W",
2014-08-27 23:35:00,2014-08-27,23:35,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.278kWh,"1,360W",
2014-08-27 23:30:00,2014-08-27,23:30,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.164kWh,"1,298W",
2014-08-27 23:25:00,2014-08-27,23:25,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,59.056kWh,"1,122W",
2014-08-27 23:20:00,2014-08-27,23:20,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,58.963kWh,"1,400W",
2014-08-27 23:15:00,2014-08-27,23:15,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,58.846kWh,"1,492W",
2014-08-27 23:10:00,2014-08-27,23:10,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,58.722kWh,"1,480W",
2014-08-27 23:05:00,2014-08-27,23:05,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,-,-,58.598kWh,"1,278W",
2014-08-27 23:00:00,2014-08-27,23:00,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.4C,-,58.492kWh,"1,314W",
2014-08-27 22:55:00,2014-08-27,22:55,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.7C,-,58.382kWh,"1,306W",
2014-08-27 22:50:00,2014-08-27,22:50,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.7C,-,58.274kWh,"1,319W",
2014-08-27 22:45:00,2014-08-27,22:45,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.5C,-,58.164kWh,"1,324W",
2014-08-27 22:40:00,2014-08-27,22:40,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.6C,-,58.053kWh,"5,083W",
2014-08-27 22:35:00,2014-08-27,22:35,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.4C,-,57.630kWh,"5,420W",
2014-08-27 22:30:00,2014-08-27,22:30,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.4C,-,57.178kWh,"5,538W",
2014-08-27 22:25:00,2014-08-27,22:25,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.5C,-,56.717kWh,"5,444W",
2014-08-27 22:20:00,2014-08-27,22:20,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,13.6C,-,56.263kWh,"1,722W",
2014-08-27 22:15:00,2014-08-27,22:15,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.1C,-,56.119kWh,"1,623W",
2014-08-27 22:10:00,2014-08-27,22:10,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.2C,-,55.984kWh,"1,722W",
2014-08-27 22:05:00,2014-08-27,22:05,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.2C,-,55.841kWh,"3,497W",
2014-08-27 22:00:00,2014-08-27,22:00,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.2C,-,55.549kWh,"3,939W",
2014-08-27 21:55:00,2014-08-27,21:55,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.4C,-,55.221kWh,"3,893W",
2014-08-27 21:50:00,2014-08-27,21:50,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.4C,-,54.897kWh,"4,144W",
2014-08-27 21:45:00,2014-08-27,21:45,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.5C,-,54.551kWh,"1,968W",
2014-08-27 21:40:00,2014-08-27,21:40,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.5C,-,54.387kWh,"1,977W",
2014-08-27 21:35:00,2014-08-27,21:35,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.7C,-,54.222kWh,"1,982W",
2014-08-27 21:30:00,2014-08-27,21:30,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.7C,-,54.057kWh,"2,121W",
2014-08-27 21:25:00,2014-08-27,21:25,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.7C,-,53.881kWh,"4,425W",
2014-08-27 21:20:00,2014-08-27,21:20,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.8C,-,53.512kWh,"7,044W",
2014-08-27 21:15:00,2014-08-27,21:15,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,14.9C,-,52.925kWh,"7,145W",
2014-08-27 21:10:00,2014-08-27,21:10,57.667kWh,4.064kWh/kW,0,0W,0.000kW/kW,15.1C,-,52.329kWh,"3,461W",
