datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-05-27 23:55:00,2014-05-27,23:55,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,57.522kWh,"1,158W",
2014-05-27 23:50:00,2014-05-27,23:50,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,57.426kWh,"1,160W",
2014-05-27 23:45:00,2014-05-27,23:45,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,57.329kWh,"1,163W",
2014-05-27 23:40:00,2014-05-27,23:40,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,57.232kWh,"1,284W",
2014-05-27 23:35:00,2014-05-27,23:35,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,57.125kWh,"1,632W",
2014-05-27 23:30:00,2014-05-27,23:30,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,56.989kWh,"5,005W",
2014-05-27 23:25:00,2014-05-27,23:25,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,56.572kWh,"5,126W",
2014-05-27 23:20:00,2014-05-27,23:20,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,56.145kWh,"5,063W",
2014-05-27 23:15:00,2014-05-27,23:15,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,55.723kWh,"5,051W",
2014-05-27 23:10:00,2014-05-27,23:10,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,55.302kWh,"7,352W",
2014-05-27 23:05:00,2014-05-27,23:05,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,-,-,54.689kWh,"7,359W",
2014-05-27 23:00:00,2014-05-27,23:00,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.9C,-,54.076kWh,"7,555W",
2014-05-27 22:55:00,2014-05-27,22:55,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.9C,-,53.447kWh,"7,581W",
2014-05-27 22:50:00,2014-05-27,22:50,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.9C,-,52.815kWh,"5,422W",
2014-05-27 22:45:00,2014-05-27,22:45,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.5C,-,52.363kWh,"1,586W",
2014-05-27 22:40:00,2014-05-27,22:40,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.4C,-,52.231kWh,"1,613W",
2014-05-27 22:35:00,2014-05-27,22:35,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.2C,-,52.096kWh,"1,526W",
2014-05-27 22:30:00,2014-05-27,22:30,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,17.1C,-,51.969kWh,"1,463W",
2014-05-27 22:25:00,2014-05-27,22:25,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.9C,-,51.847kWh,"1,445W",
2014-05-27 22:20:00,2014-05-27,22:20,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.9C,-,51.727kWh,"1,615W",
2014-05-27 22:15:00,2014-05-27,22:15,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.9C,-,51.592kWh,"3,453W",
2014-05-27 22:10:00,2014-05-27,22:10,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.6C,-,51.305kWh,"3,462W",
2014-05-27 22:05:00,2014-05-27,22:05,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.0C,-,51.016kWh,"7,411W",
2014-05-27 22:00:00,2014-05-27,22:00,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.6C,-,50.398kWh,"7,526W",
2014-05-27 21:55:00,2014-05-27,21:55,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.1C,-,49.771kWh,"5,242W",
2014-05-27 21:50:00,2014-05-27,21:50,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.1C,-,49.334kWh,"5,334W",
2014-05-27 21:45:00,2014-05-27,21:45,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.3C,-,48.890kWh,"5,345W",
2014-05-27 21:40:00,2014-05-27,21:40,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.3C,-,48.445kWh,"5,341W",
2014-05-27 21:35:00,2014-05-27,21:35,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.4C,-,47.999kWh,"5,340W",
2014-05-27 21:30:00,2014-05-27,21:30,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.3C,-,47.554kWh,"1,794W",
2014-05-27 21:25:00,2014-05-27,21:25,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,18.3C,-,47.405kWh,"2,043W",
2014-05-27 21:20:00,2014-05-27,21:20,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.3C,-,47.235kWh,"3,684W",
2014-05-27 21:15:00,2014-05-27,21:15,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,19.3C,-,46.928kWh,"3,667W",
2014-05-27 21:10:00,2014-05-27,21:10,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,20.1C,-,46.622kWh,"3,684W",
2014-05-27 21:05:00,2014-05-27,21:05,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,20.4C,-,46.315kWh,"3,660W",
2014-05-27 21:00:00,2014-05-27,21:00,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,20.5C,-,46.010kWh,"1,716W",
2014-05-27 20:55:00,2014-05-27,20:55,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.1C,-,45.867kWh,"1,713W",
2014-05-27 20:50:00,2014-05-27,20:50,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.1C,-,45.724kWh,"1,725W",
2014-05-27 20:45:00,2014-05-27,20:45,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.1C,-,45.581kWh,"1,753W",
2014-05-27 20:40:00,2014-05-27,20:40,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.2C,-,45.435kWh,"2,087W",
2014-05-27 20:35:00,2014-05-27,20:35,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.3C,-,45.261kWh,"3,739W",
2014-05-27 20:30:00,2014-05-27,20:30,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.2C,-,44.949kWh,"7,559W",
2014-05-27 20:25:00,2014-05-27,20:25,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.3C,-,44.319kWh,"3,541W",
2014-05-27 20:20:00,2014-05-27,20:20,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,21.8C,-,44.024kWh,"3,150W",
2014-05-27 20:15:00,2014-05-27,20:15,85.080kWh,5.996kWh/kW,0,0W,0.000kW/kW,22.4C,-,43.762kWh,"3,480W",
2014-05-27 20:10:00,2014-05-27,20:10,85.080kWh,5.996kWh/kW,4,0W,0.000kW/kW,22.5C,-,43.472kWh,"5,062W",
2014-05-27 20:05:00,2014-05-27,20:05,85.080kWh,5.996kWh/kW,20,24W,0.002kW/kW,22.8C,-,43.050kWh,"1,315W",
2014-05-27 20:00:00,2014-05-27,20:00,85.078kWh,5.996kWh/kW,48,48W,0.003kW/kW,23.7C,-,42.940kWh,"2,843W",
2014-05-27 19:55:00,2014-05-27,19:55,85.074kWh,5.995kWh/kW,75,72W,0.005kW/kW,24.7C,-,42.703kWh,"6,823W",
2014-05-27 19:50:00,2014-05-27,19:50,85.068kWh,5.995kWh/kW,99,96W,0.007kW/kW,24.7C,-,42.135kWh,"6,111W",
2014-05-27 19:45:00,2014-05-27,19:45,85.060kWh,5.994kWh/kW,130,132W,0.009kW/kW,24.7C,-,41.625kWh,"6,292W",
2014-05-27 19:40:00,2014-05-27,19:40,85.049kWh,5.994kWh/kW,169,168W,0.012kW/kW,26.0C,-,41.101kWh,"6,031W",
2014-05-27 19:35:00,2014-05-27,19:35,85.035kWh,5.993kWh/kW,257,252W,0.018kW/kW,27.8C,-,40.598kWh,"6,930W",
2014-05-27 19:30:00,2014-05-27,19:30,85.014kWh,5.991kWh/kW,410,408W,0.029kW/kW,29.5C,-,40.021kWh,"7,261W",
2014-05-27 19:25:00,2014-05-27,19:25,84.980kWh,5.989kWh/kW,570,564W,0.040kW/kW,31.8C,-,39.416kWh,"6,749W",
2014-05-27 19:20:00,2014-05-27,19:20,84.933kWh,5.985kWh/kW,736,732W,0.052kW/kW,33.1C,-,38.853kWh,"5,634W",
2014-05-27 19:15:00,2014-05-27,19:15,84.872kWh,5.981kWh/kW,871,876W,0.062kW/kW,32.7C,-,38.384kWh,"7,849W",
2014-05-27 19:10:00,2014-05-27,19:10,84.799kWh,5.976kWh/kW,902,900W,0.063kW/kW,30.7C,-,37.730kWh,"7,857W",
2014-05-27 19:05:00,2014-05-27,19:05,84.724kWh,5.971kWh/kW,864,864W,0.061kW/kW,28.3C,-,37.075kWh,"4,206W",
2014-05-27 19:00:00,2014-05-27,19:00,84.652kWh,5.966kWh/kW,873,876W,0.062kW/kW,24.3C,-,36.725kWh,"4,526W",
2014-05-27 18:55:00,2014-05-27,18:55,84.579kWh,5.960kWh/kW,761,756W,0.053kW/kW,24.3C,-,36.347kWh,"4,048W",
2014-05-27 18:50:00,2014-05-27,18:50,84.516kWh,5.956kWh/kW,564,564W,0.040kW/kW,24.3C,-,36.010kWh,"3,471W",
2014-05-27 18:45:00,2014-05-27,18:45,84.469kWh,5.953kWh/kW,490,492W,0.035kW/kW,24.6C,-,35.721kWh,"3,451W",
2014-05-27 18:40:00,2014-05-27,18:40,84.428kWh,5.950kWh/kW,554,552W,0.039kW/kW,25.9C,-,35.433kWh,"3,352W",
2014-05-27 18:35:00,2014-05-27,18:35,84.382kWh,5.947kWh/kW,735,732W,0.052kW/kW,25.9C,-,35.154kWh,"3,335W",
2014-05-27 18:30:00,2014-05-27,18:30,84.321kWh,5.942kWh/kW,857,852W,0.060kW/kW,26.1C,-,34.876kWh,"1,455W",
2014-05-27 18:25:00,2014-05-27,18:25,84.250kWh,5.937kWh/kW,1493,"1,488W",0.105kW/kW,27.8C,-,34.755kWh,"1,346W",
2014-05-27 18:20:00,2014-05-27,18:20,84.126kWh,5.929kWh/kW,2267,"2,268W",0.160kW/kW,28.8C,-,34.643kWh,"1,248W",
2014-05-27 18:15:00,2014-05-27,18:15,83.937kWh,5.915kWh/kW,2196,"2,196W",0.155kW/kW,28.1C,-,34.539kWh,"1,236W",
2014-05-27 18:10:00,2014-05-27,18:10,83.754kWh,5.902kWh/kW,2031,"2,028W",0.143kW/kW,27.5C,-,34.436kWh,"1,269W",
2014-05-27 18:05:00,2014-05-27,18:05,83.585kWh,5.890kWh/kW,1903,"1,908W",0.134kW/kW,27.0C,-,34.330kWh,"1,241W",
2014-05-27 18:00:00,2014-05-27,18:00,83.426kWh,5.879kWh/kW,1269,"1,272W",0.090kW/kW,26.6C,-,34.226kWh,"1,094W",
2014-05-27 17:55:00,2014-05-27,17:55,83.320kWh,5.872kWh/kW,1023,"1,020W",0.072kW/kW,27.4C,-,34.135kWh,"1,576W",
2014-05-27 17:50:00,2014-05-27,17:50,83.235kWh,5.866kWh/kW,847,852W,0.060kW/kW,27.4C,-,34.004kWh,"2,550W",
2014-05-27 17:45:00,2014-05-27,17:45,83.164kWh,5.861kWh/kW,949,948W,0.067kW/kW,27.4C,-,33.791kWh,"3,080W",
2014-05-27 17:40:00,2014-05-27,17:40,83.085kWh,5.855kWh/kW,2137,"2,136W",0.151kW/kW,28.9C,-,33.535kWh,"3,307W",
2014-05-27 17:35:00,2014-05-27,17:35,82.907kWh,5.843kWh/kW,3752,"3,756W",0.265kW/kW,28.2C,-,33.259kWh,"3,169W",
2014-05-27 17:30:00,2014-05-27,17:30,82.594kWh,5.821kWh/kW,4268,"4,272W",0.301kW/kW,28.1C,-,32.995kWh,"3,144W",
2014-05-27 17:25:00,2014-05-27,17:25,82.238kWh,5.795kWh/kW,5094,"5,100W",0.359kW/kW,28.4C,-,32.733kWh,"3,127W",
2014-05-27 17:20:00,2014-05-27,17:20,81.813kWh,5.766kWh/kW,5270,"5,268W",0.371kW/kW,28.0C,-,32.473kWh,"3,029W",
2014-05-27 17:15:00,2014-05-27,17:15,81.374kWh,5.735kWh/kW,3302,"3,300W",0.233kW/kW,26.7C,-,32.220kWh,"3,001W",
2014-05-27 17:10:00,2014-05-27,17:10,81.099kWh,5.715kWh/kW,1650,"1,644W",0.116kW/kW,26.8C,-,31.970kWh,"1,108W",
2014-05-27 17:05:00,2014-05-27,17:05,80.962kWh,5.706kWh/kW,1552,"1,548W",0.109kW/kW,27.5C,-,31.878kWh,"1,279W",
2014-05-27 17:00:00,2014-05-27,17:00,80.833kWh,5.696kWh/kW,1744,"1,740W",0.123kW/kW,27.8C,-,31.771kWh,"1,311W",
