datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-07-03 23:55:00,2014-07-03,23:55,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,77.183kWh,"2,361W",
2014-07-03 23:50:00,2014-07-03,23:50,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,76.987kWh,"3,539W",
2014-07-03 23:45:00,2014-07-03,23:45,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,76.692kWh,"3,618W",
2014-07-03 23:40:00,2014-07-03,23:40,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,76.390kWh,"3,802W",
2014-07-03 23:35:00,2014-07-03,23:35,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,76.073kWh,"3,813W",
2014-07-03 23:30:00,2014-07-03,23:30,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,75.756kWh,"3,778W",
2014-07-03 23:25:00,2014-07-03,23:25,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,75.441kWh,"2,482W",
2014-07-03 23:20:00,2014-07-03,23:20,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,75.234kWh,"2,503W",
2014-07-03 23:15:00,2014-07-03,23:15,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,75.025kWh,"2,590W",
2014-07-03 23:10:00,2014-07-03,23:10,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,74.810kWh,"2,671W",
2014-07-03 23:05:00,2014-07-03,23:05,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,-,-,74.587kWh,"2,755W",
2014-07-03 23:00:00,2014-07-03,23:00,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.2C,-,74.357kWh,"2,146W",
2014-07-03 22:55:00,2014-07-03,22:55,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.9C,-,74.179kWh,"4,456W",
2014-07-03 22:50:00,2014-07-03,22:50,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.9C,-,73.807kWh,"4,576W",
2014-07-03 22:45:00,2014-07-03,22:45,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.9C,-,73.426kWh,"4,563W",
2014-07-03 22:40:00,2014-07-03,22:40,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.5C,-,73.046kWh,"4,535W",
2014-07-03 22:35:00,2014-07-03,22:35,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.7C,-,72.668kWh,"4,623W",
2014-07-03 22:30:00,2014-07-03,22:30,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.0C,-,72.283kWh,"4,701W",
2014-07-03 22:25:00,2014-07-03,22:25,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.1C,-,71.891kWh,"4,553W",
2014-07-03 22:20:00,2014-07-03,22:20,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.2C,-,71.511kWh,"2,686W",
2014-07-03 22:15:00,2014-07-03,22:15,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.3C,-,71.288kWh,"2,693W",
2014-07-03 22:10:00,2014-07-03,22:10,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.2C,-,71.063kWh,"3,023W",
2014-07-03 22:05:00,2014-07-03,22:05,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.3C,-,70.811kWh,"3,006W",
2014-07-03 22:00:00,2014-07-03,22:00,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.0C,-,70.561kWh,"3,145W",
2014-07-03 21:55:00,2014-07-03,21:55,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.8C,-,70.299kWh,"6,101W",
2014-07-03 21:50:00,2014-07-03,21:50,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.8C,-,69.790kWh,"6,410W",
2014-07-03 21:45:00,2014-07-03,21:45,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.8C,-,69.256kWh,"5,299W",
2014-07-03 21:40:00,2014-07-03,21:40,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.7C,-,68.814kWh,"6,374W",
2014-07-03 21:35:00,2014-07-03,21:35,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.6C,-,68.283kWh,"7,763W",
2014-07-03 21:30:00,2014-07-03,21:30,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,22.9C,-,67.636kWh,"7,881W",
2014-07-03 21:25:00,2014-07-03,21:25,79.508kWh,5.603kWh/kW,0,0W,0.000kW/kW,23.2C,-,66.980kWh,"5,673W",
