datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-08-21 23:55:00,2014-08-21,23:55,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,65.111kWh,"2,342W",
2014-08-21 23:50:00,2014-08-21,23:50,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,64.915kWh,"1,398W",
2014-08-21 23:45:00,2014-08-21,23:45,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,64.799kWh,"1,331W",
2014-08-21 23:40:00,2014-08-21,23:40,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,64.688kWh,"1,339W",
2014-08-21 23:35:00,2014-08-21,23:35,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,64.576kWh,"5,159W",
2014-08-21 23:30:00,2014-08-21,23:30,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,64.146kWh,"7,549W",
2014-08-21 23:25:00,2014-08-21,23:25,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,63.517kWh,"7,429W",
2014-08-21 23:20:00,2014-08-21,23:20,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,62.898kWh,"7,513W",
2014-08-21 23:15:00,2014-08-21,23:15,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,62.272kWh,"4,997W",
2014-08-21 23:10:00,2014-08-21,23:10,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,61.856kWh,"5,057W",
2014-08-21 23:05:00,2014-08-21,23:05,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,-,-,61.434kWh,"1,296W",
2014-08-21 23:00:00,2014-08-21,23:00,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.3C,-,61.326kWh,"1,165W",
2014-08-21 22:55:00,2014-08-21,22:55,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.3C,-,61.229kWh,"1,173W",
2014-08-21 22:50:00,2014-08-21,22:50,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.3C,-,61.132kWh,"1,195W",
2014-08-21 22:45:00,2014-08-21,22:45,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.3C,-,61.032kWh,"1,469W",
2014-08-21 22:40:00,2014-08-21,22:40,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.3C,-,60.910kWh,"3,499W",
2014-08-21 22:35:00,2014-08-21,22:35,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.5C,-,60.618kWh,"3,628W",
2014-08-21 22:30:00,2014-08-21,22:30,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.9C,-,60.316kWh,"7,697W",
2014-08-21 22:25:00,2014-08-21,22:25,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,20.0C,-,59.674kWh,"7,692W",
2014-08-21 22:20:00,2014-08-21,22:20,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.7C,-,59.033kWh,"7,976W",
2014-08-21 22:15:00,2014-08-21,22:15,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.5C,-,58.369kWh,"3,819W",
2014-08-21 22:10:00,2014-08-21,22:10,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.8C,-,58.050kWh,"1,665W",
2014-08-21 22:05:00,2014-08-21,22:05,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,20.0C,-,57.912kWh,"1,490W",
2014-08-21 22:00:00,2014-08-21,22:00,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.6C,-,57.787kWh,"1,592W",
2014-08-21 21:55:00,2014-08-21,21:55,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.6C,-,57.655kWh,"1,780W",
2014-08-21 21:50:00,2014-08-21,21:50,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.6C,-,57.506kWh,"1,738W",
2014-08-21 21:45:00,2014-08-21,21:45,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.6C,-,57.362kWh,"1,868W",
2014-08-21 21:40:00,2014-08-21,21:40,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.6C,-,57.206kWh,"1,927W",
2014-08-21 21:35:00,2014-08-21,21:35,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.4C,-,57.045kWh,"1,934W",
2014-08-21 21:30:00,2014-08-21,21:30,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.5C,-,56.884kWh,"2,046W",
2014-08-21 21:25:00,2014-08-21,21:25,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.6C,-,56.714kWh,"2,486W",
2014-08-21 21:20:00,2014-08-21,21:20,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.9C,-,56.506kWh,"2,458W",
2014-08-21 21:15:00,2014-08-21,21:15,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,20.1C,-,56.302kWh,"4,549W",
2014-08-21 21:10:00,2014-08-21,21:10,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,19.9C,-,55.923kWh,"9,139W",
2014-08-21 21:05:00,2014-08-21,21:05,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,20.0C,-,55.161kWh,"13,077W",
2014-08-21 21:00:00,2014-08-21,21:00,56.297kWh,3.967kWh/kW,0,0W,0.000kW/kW,20.1C,-,54.071kWh,"13,049W",
